singer_name,singer_gender,birthday,constellation,language_name,singer_fig
林俊杰,男,1981-03-27,白羊座,华语,images/singer/01.jpg
薛之谦,男,1983-07-17,巨蟹座,华语,images/singer/02.jpg
李荣浩,男,1985-07-11,巨蟹座,华语,images/singer/03.jpg
邓紫棋,女,1991-08-16,狮子座,华语,images/singer/04.jpg
Jony J,男,1989-12-28,魔羯座,华语,images/singer/05.jpg
404 Rapper,组合, , ,华语,images/singer/06.jpg
刘聪,男,1988-08-13,狮子座,华语,images/singer/07.jpg
马思唯,男,1993-01-27,水瓶座,华语,images/singer/08.jpg
KnowKnow,男,1996-05-03,金牛座,华语,images/singer/09.jpg
赵雷,男,1986-07-20,巨蟹座,华语,images/singer/010.jpg
汪峰,男,1971-06-29,巨蟹座,华语,images/singer/11.jpg
郑钧,男,1967-11-06,天蝎座,华语,images/singer/12.jpg
许嵩,男,1986-05-14,金牛座,华语,images/singer/13.jpg
任然,女,1989-07-03,巨蟹座,华语,images/singer/14.jpg
Taylor Swift,女,1989-12-13,射手座,欧美,images/singer/15.jpg
The Chainsmokers,组合, , ,欧美,images/singer/16.jpg
Alan Walker,男,1997-08-24,处女座,欧美,images/singer/17.jpg
Billie Eilish,女,2001-12-18,射手座,欧美,images/singer/18.jpg
Coldplay,组合, , ,欧美,images/singer/19.jpg
Justin Bieber,男,1994-03-01,双鱼座,欧美,images/singer/20.jpg
Rich Brian,男,1999-09-03,处女座,欧美,images/singer/21.jpg
Eminem,男,1972-10-17,天秤座,欧美,images/singer/22.jpg
XXXTENTACION,男,1998-01-23,水瓶座,欧美,images/singer/23.jpg
米津玄师,男,1991-03-10,双鱼座,日本,images/singer/24.jpg
和田光司,男,1974-01-29,水瓶座,日本,images/singer/25.jpg
WANDS,组合, , ,日本,images/singer/26.jpg
TK from 凛冽时雨,男,1982-12-23,魔羯座,日本,images/singer/27.jpg
BLACKPINK,组合, , ,韩语,images/singer/28.jpg
BTS防弹少年团,组合, , ,韩语,images/singer/29.jpg
IU,女,1993-05-16,金牛座,韩语,images/singer/30.jpg
